# QDB Assay Design Statistics

## Basic Statistics
Statistic,Value
Total Valid Designs,1844022
Target Length (avg),100.00 ± 0.00
Target Length (min-max),100 - 100
Capture Probe Length (avg),50.00 ± 0.00
Capture Probe Length (min-max),50 - 50
Reporter Probe Length (avg),50.00 ± 0.00
Reporter Probe Length (min-max),50 - 50

## GC Content Statistics
Probe Type,Avg GC (%),Std Dev,Min (%),Max (%)
Capture Probe,46.02,4.15,40.00,58.33
Reporter Probe,46.07,4.19,40.00,60.00

## Melting Temperature Statistics
Probe Type,Avg Tm (°C),Std Dev,Min (°C),Max (°C)
Capture Probe,68.58,1.90,61.92,72.00
Reporter Probe,68.59,1.90,61.92,72.00

## Top 30 Organisms
Organism,Count,Percent,Strain Count
Human alphaherpesvirus 3 isolate KPZ13-344,846,0.045877977594627396,1
Human alphaherpesvirus 3 isolate KPZ12-389,844,0.04576951901875358,1
Human alphaherpesvirus 3 isolate KPZ13-179,844,0.04576951901875358,1
Human alphaherpesvirus 3 isolate KPZ13-207,844,0.04576951901875358,1
Human alphaherpesvirus 3 isolate KPZ13-319,844,0.04576951901875358,1
Papio ursinus cytomegalovirus isolate OCOM4-52,842,0.04566106044287975,1
Alcelaphine herpesvirus 1,842,0.04566106044287975,1
Human alphaherpesvirus 3 isolate KPZ12-034,842,0.04566106044287975,1
Human alphaherpesvirus 3 isolate KPZ13-070,842,0.04566106044287975,1
Human herpesvirus 3 strain YC03,842,0.04566106044287975,1
Human alphaherpesvirus 3 isolate KPZ13-032,840,0.045552601867005924,1
Human alphaherpesvirus 3 isolate KPZ13-158,840,0.045552601867005924,1
Alcelaphine gammaherpesvirus 1 strain WC11,838,0.045444143291132104,1
Human alphaherpesvirus 3 isolate MCL-22-H-13-4903,838,0.045444143291132104,1
Human alphaherpesvirus 3 isolate KPZ12-436,838,0.045444143291132104,1
Aotine herpesvirus 1 strain S34E,837,0.04538991400319519,1
Human alphaherpesvirus 3 isolate KPZ12-320,836,0.04533568471525828,1
Human alphaherpesvirus 3 isolate KPZ13-042,836,0.04533568471525828,1
Human alphaherpesvirus 3 isolate KPZ13-103,836,0.04533568471525828,1
Human alphaherpesvirus 3 isolate KPZ13-221,836,0.04533568471525828,1
Human alphaherpesvirus 3 isolate MCL-22-H-32-5616_DNA_644,834,0.04522722613938445,1
Human alphaherpesvirus 3 isolate MCL-17H-780,834,0.04522722613938445,1
Human alphaherpesvirus 3 isolate KPZ12-232,834,0.04522722613938445,1
Human alphaherpesvirus 3 isolate KPZ12-525,834,0.04522722613938445,1
Human alphaherpesvirus 3 strain YC02 clone YC02p110,834,0.04522722613938445,1
Human herpesvirus 3 strain LAX1,834,0.04522722613938445,1
UNVERIFIED: Human alphaherpesvirus 3 isolate NSYY3,832,0.04511876756351063,1
Human alphaherpesvirus 3 strain MAV06 isolate Suduvax2A,832,0.04511876756351063,1
Human alphaherpesvirus 3 isolate KPZ12-329,832,0.04511876756351063,1
Human alphaherpesvirus 3 isolate KPZ12-374,832,0.04511876756351063,1
Human alphaherpesvirus 3 isolate KPZ13-143,832,0.04511876756351063,1
Human alphaherpesvirus 3 isolate KPZ13-304,832,0.04511876756351063,1
Human alphaherpesvirus 3 strain YC01 clone YC01p110,832,0.04511876756351063,1
Human alphaherpesvirus 3 strain YC03 clone YC03p61,832,0.04511876756351063,1
Human alphaherpesvirus 3 strain vOka isolate VarivaxD,830,0.045010308987636805,1
Human alphaherpesvirus 3 isolate KPZ13-150,830,0.045010308987636805,1
Human betaherpesvirus 6B isolate AA-51,828,0.044901850411762985,1
Human alphaherpesvirus 3 isolate pps-p30,828,0.044901850411762985,1
Human herpesvirus 3 strain 84-7,828,0.044901850411762985,1
Human alphaherpesvirus 3 isolate MCL-22-H-7245_822,826,0.04479339183588916,1
Human alphaherpesvirus 3 isolate KPZ12-218,826,0.04479339183588916,1
Human alphaherpesvirus 3 isolate KPZ13-174,826,0.04479339183588916,1
Human alphaherpesvirus 3 isolate KPZ13-225,826,0.04479339183588916,1
Human alphaherpesvirus 3 isolate KPZ13-248,826,0.04479339183588916,1
Human alphaherpesvirus 3 isolate pps-p4,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate pps-p60,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate MCL-17H-337,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate KPZ12-418,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate KPZ13-069,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate KPZ13-204,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate KPZ13-316,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate KPZ13-382,824,0.04468493326001533,1
Human alphaherpesvirus 3 strain YC03 clone YC03p110,824,0.04468493326001533,1
Human alphaherpesvirus 3 isolate KPZ12-013,822,0.04457647468414151,1
Human alphaherpesvirus 3 isolate KPZ12-283,822,0.04457647468414151,1
Human alphaherpesvirus 3 isolate KPZ12-352,822,0.04457647468414151,1
Human herpesvirus 3 isolate MAV06,822,0.04457647468414151,1
Human gammaherpesvirus 4,820,0.04446801610826769,1
Human alphaherpesvirus 3 isolate KPZ12-444,820,0.04446801610826769,1
Human alphaherpesvirus 3 isolate KPZ13-078,820,0.04446801610826769,1
Human alphaherpesvirus 3 strain YC02 clone YC02p61,820,0.04446801610826769,1
Human alphaherpesvirus 3 isolate KPZ12-235,818,0.044359557532393866,1
Human alphaherpesvirus 3 isolate KPZ13-240,818,0.044359557532393866,1
Human herpesvirus 3 isolate Var160,818,0.044359557532393866,1
Human alphaherpesvirus 3 isolate MCL-22-H-5851_661,816,0.04425109895652004,1
Human alphaherpesvirus 3 isolate MCL-17H-739,816,0.04425109895652004,1
Human alphaherpesvirus 3 isolate KPZ12-483,816,0.04425109895652004,1
Human alphaherpesvirus 3 isolate KPZ13-142,816,0.04425109895652004,1
Human alphaherpesvirus 3 isolate KPZ13-219,816,0.04425109895652004,1
Human alphaherpesvirus 3 isolate KPZ13-238,816,0.04425109895652004,1
Human alphaherpesvirus 3 isolate KPZ13-372,816,0.04425109895652004,1
Human alphaherpesvirus 3 strain YC02 isolate YC02p60,814,0.04414264038064622,1
Human alphaherpesvirus 3 isolate KPZ12-260,814,0.04414264038064622,1
Human alphaherpesvirus 3 isolate KPZ12-176,812,0.04403418180477239,1
Human alphaherpesvirus 3 isolate KPZ12-216,812,0.04403418180477239,1
Human alphaherpesvirus 3 isolate KPZ13-353,812,0.04403418180477239,1
Human herpesvirus 3 strain Ellen,812,0.04403418180477239,1
Human herpesvirus 3 isolate HHV3_M2DR,812,0.04403418180477239,1
Human alphaherpesvirus 3 isolate KPZ12-145,810,0.043925723228898574,1
Human alphaherpesvirus 3 isolate KPZ12-403,810,0.043925723228898574,1
Human alphaherpesvirus 3 isolate KPZ13-039,810,0.043925723228898574,1
Human alphaherpesvirus 3 isolate KPZ13-250,810,0.043925723228898574,1
UNVERIFIED: Human alphaherpesvirus 3 isolate MCL-22-H-22-5441_DNA_643,808,0.04381726465302475,1
Human alphaherpesvirus 3 strain YC02 isolate YC02p17,808,0.04381726465302475,1
Human alphaherpesvirus 3 isolate KPZ13-169,808,0.04381726465302475,1
Human alphaherpesvirus 3 isolate KPZ13-287,808,0.04381726465302475,1
Human alphaherpesvirus 3 isolate KPZ12-135,806,0.04370880607715092,1
Human alphaherpesvirus 3 isolate KPZ12-212,806,0.04370880607715092,1
Human alphaherpesvirus 3 isolate KPZ12-442,804,0.0436003475012771,1
Human alphaherpesvirus 3 isolate MCL-22-H-6083_600,802,0.04349188892540328,1
Human alphaherpesvirus 3 strain YC02 isolate YC02p100,802,0.04349188892540328,1
Human alphaherpesvirus 3 strain YC02,802,0.04349188892540328,1
Retroperitoneal fibromatosis-associated herpesvirus isolate RFHVMnM78114,801,0.04343765963746636,1
Human alphaherpesvirus 3 isolate MCL-17H-335,800,0.04338343034952945,1
Human alphaherpesvirus 3 isolate KPZ12-378,798,0.04327497177365563,1
Human alphaherpesvirus 3 isolate KPZ13-258,794,0.04305805462190798,1
Human alphaherpesvirus 3 strain YC01 clone YC01p61,794,0.04305805462190798,1
Human herpesvirus 6A isolate AJ,792,0.042949596046034155,1
Caviid herpesvirus 2 strain 21222,792,0.042949596046034155,1
Human alphaherpesvirus 3 strain YC01 clone YC01p14,792,0.042949596046034155,1
Human alphaherpesvirus 3 strain YC01 clone YC01p32,792,0.042949596046034155,1
Human herpesvirus 3 strain YC01,792,0.042949596046034155,1
Human alphaherpesvirus 3 isolate KPZ12-090,790,0.042841137470160336,1
Human alphaherpesvirus 3 isolate KPZ13-128,790,0.042841137470160336,1
Human alphaherpesvirus 3 isolate KPZ12-139,788,0.04273267889428651,1
Human herpesvirus 3 strain YC02,786,0.04262422031841269,1
Human herpesvirus 7,784,0.04251576174253886,1
Human alphaherpesvirus 3 isolate KPZ12-409,784,0.04251576174253886,1
Human alphaherpesvirus 3 isolate PTA38,776,0.04208192743904357,1
Human herpesvirus 6A strain GS,754,0.04088888310443151,1
Equid herpesvirus 5 strain 2-141/67,753,0.04083465381649459,1
African swine fever virus isolate 26544/OG10 from Italy,748,0.04056350737681003,1
African swine fever virus isolate Kenya 1950,732,0.03969583876981945,1
Colobine gammaherpesvirus 1,722,0.03915354589045033,1
African swine fever virus isolate 47/Ss/2008,696,0.037743584404090626,1
African swine fever virus isolate Warthog,692,0.03752666725234298,1
Macropodid herpesvirus 1 isolate MaHV1.3076/08,692,0.03752666725234298,1
Human gammaherpesvirus 8 clone BAC16,688,0.037309750100595326,1
African swine fever virus strain L60,682,0.036984374372973854,1
Murid betaherpesvirus 8 strain Berlin,682,0.036984374372973854,1
Murid herpesvirus 8 isolate Berlin,680,0.036875915797100034,1
African swine fever virus strain NHV,678,0.036767457221226214,1
Squirrelpox virus Berlin_2015,670,0.036333622917730915,1
Orthohepevirus A genomic RNA,655,0.035520183598677244,65
Equid herpesvirus 8 strain wh,618,0.03351369994501151,1
Macacine betaherpesvirus 3 clone BAC RhCMV_68-1_85B/ESAT6,618,0.03351369994501151,1
Macacine betaherpesvirus 3 transgenic strain 68-1 isolate rhcmv_68-1_ebov_bac,617,0.03345947065707459,1
Macacine herpesvirus 3 strain 68-1 BAC,617,0.03345947065707459,1
Macacine betaherpesvirus 3 transgenic strain 68-1 isolate rhcmv_68-1_bac,612,0.03318832421739003,1
Macacine betaherpesvirus 3 isolate 19936,609,0.033025636353579295,1
Human immunodeficiency virus 1 genomic RNA,608,0.03297140706564238,29
Mutant Cynomolgus cytomegalovirus isolate CyCMV 31908 clone FL-CyCMV,608,0.03297140706564238,1
Equid alphaherpesvirus 8 isolate SDLC66,606,0.032862948489768555,1
Equid alphaherpesvirus 8 isolate SD2020113,606,0.032862948489768555,1
Macacine betaherpesvirus 3 clone BAC RhCMV_68-1_ARh107_TB-6Ag,606,0.032862948489768555,1
Equid alphaherpesvirus 8 strain EHV-8/IR/2015/40,604,0.032754489913894735,1
Macacine betaherpesvirus 3 strain UCD59,602,0.032646031338020916,1
Macacine betaherpesvirus 3 strain 34844,597,0.032374884898336356,1
Macacine betaherpesvirus 3 strain KF03,596,0.03232065561039944,1
Macacine betaherpesvirus 3 isolate 19262,595,0.03226642632246253,1
Macacine betaherpesvirus 3 isolate 24514,595,0.03226642632246253,1
Macacine betaherpesvirus 3 isolate 68.1.2_RpfA/RpfC/RpfD,594,0.032212197034525616,1
Equid alphaherpesvirus 8 strain EHV-8/IR/2010/47,592,0.0321037384586518,1
Cynomolgus cytomegalovirus isolate 31906,590,0.03199527988277797,1
Macacine betaherpesvirus 3 strain UCD52,577,0.03129029913959812,1
Macacine betaherpesvirus 3 isolate 68.1.2_85B/ESAT6,577,0.03129029913959812,1
Cynomolgus cytomegalovirus isolate 31907,576,0.031236069851661205,1
Macacine betaherpesvirus 3 isolate 68.1_RpfA/RpfC/RpfD,576,0.031236069851661205,1
Macacine betaherpesvirus 3 isolate 68.1.2_85A/85B/Rv3407,575,0.031181840563724292,1
Macacine betaherpesvirus 3 isolate 68.1_Rv1733c/Rv2626c,575,0.031181840563724292,1
Equid alphaherpesvirus 8 strain EHV-8/IR/2010/16,574,0.031127611275787382,1
Macacine betaherpesvirus 3 isolate 68.1.2_Rv1733c/Rv2626c,574,0.031127611275787382,1
Human gammaherpesvirus 8 clone BAC16_ORF21_3GVmutant,572,0.03101915269991356,1
Macacine betaherpesvirus 3 isolate 68.1_85A/85B/Rv3407,571,0.03096492341197665,1
Human gammaherpesvirus 8 strain UNC_RM_98,566,0.03069377697229209,1
UNVERIFIED_ASMBLY: Cynomolgus cytomegalovirus isolate 31909,566,0.03069377697229209,1
Human gammaherpesvirus 8 strain UNC_RM_23,562,0.03047685982054444,1
Human herpesvirus 8 DNA,562,0.03047685982054444,1
Human gammaherpesvirus 8 isolate PEDKS19,560,0.030368401244670617,1
MAG: Human gammaherpesvirus 8 isolate U216-D,560,0.030368401244670617,1
Human gammaherpesvirus 8 strain UNC_RM_52,560,0.030368401244670617,1
Human gammaherpesvirus 8 isolate PEDKS18,558,0.03025994266879679,1
Human gammaherpesvirus 8 isolate PEDKS21-3,558,0.03025994266879679,1
Human gammaherpesvirus 8 isolate PEDKS21-2,558,0.03025994266879679,1
Human gammaherpesvirus 8 isolate PEDKS21,558,0.03025994266879679,1
MAG: Human gammaherpesvirus 8 isolate U048-E,558,0.03025994266879679,1
Human gammaherpesvirus 8 strain UNC_RM_216,558,0.03025994266879679,1
Human herpesvirus 5 transgenic isolate Towne-BAC-der,558,0.03025994266879679,1
Human gammaherpesvirus 8 isolate PEDKS22,556,0.03015148409292297,1
Human gammaherpesvirus 8 isolate PEDKS20,556,0.03015148409292297,1
Cynomolgus cytomegalovirus strain 31709,556,0.03015148409292297,1
Cercopithecine herpesvirus 8 isolate CMV 180.92,555,0.030097254804986057,1
Human gammaherpesvirus 8 strain UNC_RM_64,554,0.030043025517049148,1
Human gammaherpesvirus 8 strain UNC_RM_30039264,552,0.02993456694117532,1
Human gammaherpesvirus 8 strain UNC_RM_30039265,552,0.02993456694117532,1
Human gammaherpesvirus 8 strain UNC_RM_161,552,0.02993456694117532,1
Human herpesvirus 5 transgenic strain Merlin,552,0.02993456694117532,1
SARS coronavirus Tor2,552,0.02993456694117532,1
Human gammaherpesvirus 8 isolate PEDKS10,550,0.029826108365301498,1
Human gammaherpesvirus 8 isolate PEDKS16,550,0.029826108365301498,1
Human gammaherpesvirus 8 isolate PEDKS23,550,0.029826108365301498,1
Human gammaherpesvirus 8 strain UNC_BCBL-1,550,0.029826108365301498,1
Human gammaherpesvirus 8 strain UNC_RM_162,550,0.029826108365301498,1
Rousettus bat coronavirus isolate GCCDC1 356,549,0.029771879077364588,1
Human gammaherpesvirus 8 strain UNC_RM_30035668,548,0.029717649789427678,1
Human gammaherpesvirus 8 strain UNC_RM_269,548,0.029717649789427678,1
Human gammaherpesvirus 8 isolate PEDKS17,546,0.029609191213553848,1
Human gammaherpesvirus 8 strain UNC_KICS009,546,0.029609191213553848,1
Human herpesvirus 5 transgenic isolate Towne-BAC_UL96_Mutant,546,0.029609191213553848,1
Human gammaherpesvirus 8 strain UNC_RM_30004479,544,0.02950073263768003,1
Human gammaherpesvirus 8 strain UNC_RM_167,544,0.02950073263768003,1
Human herpesvirus 5 transgenic strain Towne,544,0.02950073263768003,1
MAG: Human gammaherpesvirus 8 isolate U021-C,542,0.029392274061806205,1
Equid herpesvirus 2 strain 86/67,540,0.02928381548593238,1
Human betaherpesvirus 5 clone AD169-BAC2,536,0.029066898334184736,1
Human herpesvirus 4,534,0.02895843975831091,1
Human gammaherpesvirus 8 strain JSC-1,530,0.028741522606563263,1
Human herpesvirus 5 strain PAV4,530,0.028741522606563263,1
Human herpesvirus 5 strain PAV7,528,0.028633064030689437,1
MAG: Human gammaherpesvirus 8 isolate U215-D,526,0.028524605454815614,1
MAG: Human gammaherpesvirus 8 isolate U021-E,526,0.028524605454815614,1
Human betaherpesvirus 5 clone AD169-BAC20,526,0.028524605454815614,1
Human herpesvirus 5 strain U11,526,0.028524605454815614,1
Human betaherpesvirus 5 strain HANSCTR12,524,0.028416146878941794,1
MAG: Human gammaherpesvirus 8 isolate U156-B,520,0.028199229727194144,1
MAG: Human gammaherpesvirus 8 isolate U156-C,520,0.028199229727194144,1
Human betaherpesvirus 5 isolate BM2,518,0.02809077115132032,1
Human betaherpesvirus 5 strain PRA2,518,0.02809077115132032,1
Human herpesvirus 5 strain 2CEN2,518,0.02809077115132032,1
Human herpesvirus 5 strain HAN31,518,0.02809077115132032,1
Human betaherpesvirus 5 strain HANRTR2,516,0.027982312575446495,1
Human herpesvirus 5 strain HAN3,516,0.027982312575446495,1
Human herpesvirus 5 strain 2CEN15,514,0.027873853999572675,1
Human gammaherpesvirus 8 strain BC1_UNC,510,0.027656936847825025,1
Human herpesvirus 8 strain DG1,510,0.027656936847825025,1
Human betaherpesvirus 5 strain Ig-KG-H2varP14S,510,0.027656936847825025,1
Human betaherpesvirus 5 strain GLA-SOT1,510,0.027656936847825025,1
Human betaherpesvirus 5 strain LUS248,510,0.027656936847825025,1
Human herpesvirus 5 strain 3157,510,0.027656936847825025,1
Human herpesvirus 5 strain VR1814,508,0.027548478271951202,1
Human betaherpesvirus 5 strain Ig-KG-H2,506,0.02744001969607738,1
Human betaherpesvirus 5 strain LON1,506,0.02744001969607738,1
Human betaherpesvirus 5 strain PRA8,506,0.02744001969607738,1
Human betaherpesvirus 5 strain HANSCTR1A,506,0.02744001969607738,1
Human betaherpesvirus 5 isolate BM5,504,0.027331561120203553,1
Human betaherpesvirus 5 strain HANRTR10,504,0.027331561120203553,1
Human betaherpesvirus 5 strain Toledo variant,504,0.027331561120203553,1
Human herpesvirus 5 strain HAN36,504,0.027331561120203553,1
Human herpesvirus 5 strain 6397,504,0.027331561120203553,1
Human betaherpesvirus 5 strain HANSCTR11B,502,0.027223102544329733,1
Human betaherpesvirus 5 isolate VR7863,502,0.027223102544329733,1
Human herpesvirus 5 strain HAN32,502,0.027223102544329733,1
Human herpesvirus 5 strain PAV6,502,0.027223102544329733,1
Elephantid herpesvirus 1 strain Raman,501,0.02716887325639282,1
Human herpesvirus 5 strain Merlin isolate RCMV1835,500,0.02711464396845591,1
Human herpesvirus 5 strain Merlin isolate RCMV1839,500,0.02711464396845591,1
Human herpesvirus 5 strain JER5550,500,0.02711464396845591,1
Human herpesvirus 5 strain HAN39,500,0.02711464396845591,1
Human herpesvirus 5 strain HAN16,500,0.02711464396845591,1
Human herpesvirus 5 strain 3301,500,0.02711464396845591,1
Human gammaherpesvirus 8 strain UNC_KICS010,498,0.027006185392582083,1
Human betaherpesvirus 5 strain GLA-U,498,0.027006185392582083,1
Human betaherpesvirus 5 isolate S2_3M_R2 genome assembly,496,0.02689772681670826,1
Human betaherpesvirus 5 strain HANRTR6,496,0.02689772681670826,1
Human betaherpesvirus 5 strain HANRTR4,496,0.02689772681670826,1
Human herpesvirus 5 strain Merlin isolate RCMV1812,496,0.02689772681670826,1
Human herpesvirus 5 strain Merlin isolate RCMV1819,496,0.02689772681670826,1
Human herpesvirus 5 strain Merlin isolate RCMV1841,496,0.02689772681670826,1
Human herpesvirus 5 strain JER2282,496,0.02689772681670826,1
Human herpesvirus 5 strain PAV21,496,0.02689772681670826,1
Human herpesvirus 5 isolate HAN,496,0.02689772681670826,1
Human herpesvirus 5 strain HAN8,496,0.02689772681670826,1
Human herpesvirus 5 strain JHC,496,0.02689772681670826,1
Human herpesvirus 5 strain JER1289,494,0.02678926824083444,1
Human herpesvirus 5 strain HAN1,494,0.02678926824083444,1
Human herpesvirus 5 strain AF1,494,0.02678926824083444,1
Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota,492,0.02668080966496061,1
Human betaherpesvirus 5 strain Merlin,492,0.02668080966496061,1
Human betaherpesvirus 5 strain PRA3,492,0.02668080966496061,1
Human betaherpesvirus 5 isolate Toledo-p7 minority,492,0.02668080966496061,1
Human betaherpesvirus 5 clone TAR Toledo-P,492,0.02668080966496061,1
Human herpesvirus 5 strain PAV26,492,0.02668080966496061,1
Human betaherpesvirus 5 isolate PRA04 genome assembly,490,0.02657235108908679,1
Human betaherpesvirus 5 isolate BM1,490,0.02657235108908679,1
Human betaherpesvirus 5 strain LUS193,490,0.02657235108908679,1
Human betaherpesvirus 5 strain LUS283,490,0.02657235108908679,1
Human betaherpesvirus 5 strain PAV31,490,0.02657235108908679,1
Human herpesvirus 5 strain JER1070,490,0.02657235108908679,1
Human herpesvirus 5 strain PAV11,490,0.02657235108908679,1
Human herpesvirus 5 strain HAN12,490,0.02657235108908679,1
Human immunodeficiency virus 2 proviral DNA,489,0.02651812180114988,14
Human betaherpesvirus 5 strain GLA-L,488,0.026463892513212968,1
Human betaherpesvirus 5 strain HANChild4,488,0.026463892513212968,1
Human betaherpesvirus 5 strain NAN2LA,488,0.026463892513212968,1
Human betaherpesvirus 5 strain Merlin isolate RCMV1871,488,0.026463892513212968,1
Human herpesvirus 5 strain PAV18,488,0.026463892513212968,1
Human herpesvirus 5 strain Merlin isolate RCMV1149,488,0.026463892513212968,1
Human herpesvirus 5 strain JP,488,0.026463892513212968,1
Human betaherpesvirus 5 isolate DUR10 genome assembly,486,0.02635543393733914,1
Human betaherpesvirus 5 isolate P6 chromosome 1,486,0.02635543393733914,1
Human betaherpesvirus 5 strain HAN-SOT1,486,0.02635543393733914,1
Human betaherpesvirus 5 strain HANRTR1A,486,0.02635543393733914,1
Human herpesvirus 5 strain Merlin isolate RCMV1823,486,0.02635543393733914,1
Human herpesvirus 5 strain Merlin isolate RCMV1843,486,0.02635543393733914,1
Human herpesvirus 5 strain Merlin isolate RCMV1845,486,0.02635543393733914,1
Human herpesvirus 5 strain Merlin isolate RCMV1849,486,0.02635543393733914,1
Human herpesvirus 5 strain Merlin isolate RCMV1851,486,0.02635543393733914,1
Human herpesvirus 5 strain PAV23,486,0.02635543393733914,1
Human herpesvirus 5 strain UKNEQAS2,486,0.02635543393733914,1
Human herpesvirus 5 strain HAN13,486,0.02635543393733914,1
Human betaherpesvirus 5 isolate VIE14 genome assembly,484,0.026246975361465318,1
Human betaherpesvirus 5 strain BL,484,0.026246975361465318,1
Human betaherpesvirus 5 strain HANSCTR2,484,0.026246975361465318,1
Human betaherpesvirus 5 strain HANSCTR4,484,0.026246975361465318,1
Human betaherpesvirus 5 isolate VR5201,484,0.026246975361465318,1
Human herpesvirus 5 strain JER847,484,0.026246975361465318,1
Human herpesvirus 5 strain JER4041,484,0.026246975361465318,1
Human herpesvirus 5 strain JER4755,484,0.026246975361465318,1
Human herpesvirus 5 strain PAV1,484,0.026246975361465318,1
Human herpesvirus 5 strain PAV24,484,0.026246975361465318,1
Human herpesvirus 5 strain Merlin isolate RCMV1678,484,0.026246975361465318,1
Macaca fuscata rhadinovirus,484,0.026246975361465318,1
Human betaherpesvirus 5 isolate BM11,482,0.0261385167855915,1
Human betaherpesvirus 5 isolate P15 chromosome 1,482,0.0261385167855915,1
Human betaherpesvirus 5 strain PRA1,482,0.0261385167855915,1
Human betaherpesvirus 5 strain PRA6,482,0.0261385167855915,1
Human herpesvirus 5 strain JER4053,482,0.0261385167855915,1
Human betaherpesvirus 5 strain Merlin isolate RCMV1798,482,0.0261385167855915,1
Human herpesvirus 5 strain Merlin isolate RCMV1111,482,0.0261385167855915,1
Human herpesvirus 5 strain Merlin isolate RCMV1677,482,0.0261385167855915,1
TPA_inf: Human herpesvirus 5 strain AD169 substrain varUK,482,0.0261385167855915,1
